Title,Year,Director,Studio,Genre
Shakti - The Power,2002,Boney Kapoor,,Drama
Shararat,2002,Gurudev Bhalla,,"Comedy, Drama"
Soch,2002,Sushen Bhatnagar,,"Thriller, Mystery"
Sur: The Melody of Life,2002,Tanuja Chandra,,Musical
The Legend of Bhagat Singh,2002,Rajkumar Santoshi,,"History, Drama"
Tumko Na Bhool Paayenge,2002,Pankaj Parashar,,Drama
Tum Se Achcha Kaun Hai,2002,Deepak Anand,,"Romance, Drama"
Waah! Tera Kya Kehna,2002,Manoj Agrawal,,Comedy
Yeh Dil Aashiqanaa,2002,Kuku Kohli,,"Romance, Action"
Yeh Hai Jalwa,2002,David Dhawan,,Comedy
Yeh Kaisi Mohabbat,2002,Dinkar Kapur,,"Romance, Drama"
Yeh Kya Ho Raha Hai?,2002,Hansal Mehta,,"Comedy, Romance"
Yeh Mohabbat Hai,2002,Umesh Mehra,,Action
Zindagi Khoobsoorat Hai,2002,Manoj Punj,,"Drama,Family"

2 October,2003,Sunil Tiwari,,"Action, Thriller"
3 Deewarein,2003,Nagesh Kukunoor,,Drama
88 Antop Hill,2003,Kushan Nandy,,Thriller
Aaj Ka Andha Kanoon,2003,Amit Chandra Sahay,,"Action, Drama"
Aanch,2003,Rajesh Kumar Singh,,"Romance, Drama"
Aapko Pehle Bhi Kahin Dekha Hai,2003,Anubhav Sinha,,Romance
Andaaz,2003,Suneel Darshan,,Romance
Armaan,2003,Honey Irani,,"Drama, Family"
Baaz: A Bird in Danger,2003,Tinu Verma,,Thriller
Baghban,2003,Ravi Chopra,,"Drama, Family"
Bas Yun Hi,2003,Raja Menon,,Drama
Basti,2003,Basharat Khan,,Action
Bhoot,2003,Ram Gopal Varma,,Horror
Boom,2003,Kaizad Gustad,,"Crime,Thriller"
Calcutta Mail,2003,Sudhir Mishra,,Drama
Chalte Chalte,2003,Aziz Mirza,,"Drama, Romance, Comedy, Musical"
Chori Chori,2003,Milan Luthria,,Romance
Chupke Se,2003,Shona Urvashi,,"Romance, Comedy"
Chura Liyaa Hai Tumne,2003,Sangeeth Sivan,,"Action, Drama, Romance, Thriller"
Darna Mana Hai,2003,Prawaal Raman,,"Horror, Thriller"
Dhoop,2003,Ashwini Chaudhary,,Drama
Dhund,2003,Shyam Ramsay,,Horror
Dil Ka Rishta,2003,Naresh Malhotra,,"Drama, Romance"
Dil Pardesi Ho Gayaa,2003,Saawan Kumar Tak,,Romance
Dum,2003,Eeshwar Nivas,,"Action, Drama, Romance"
Ek Alag Mausam,2003,K. P. Sasi,,Drama
Ek Aur Ek Gyarah,2003,David Dhawan,,Comedy
Ek Din 24 Ghante,2003,Anant Balani,,Thriller
Escape from Taliban,2003,Ujjal Chattopadhyaya,,Drama
Final Solution,2003,Rakesh Sharma,,Documentary
Footpath,2003,Vikram Bhatt,,Drama
Freaky Chakra,2003,"V. K. Prakash , Ziba Bhagwagar",,"Comedy, Drama"
Fun2shh... Dudes in the 10th Century,2003,Imtiaz Punjabi,,"Fantasy, Comedy"
Gangaajal,2003,Prakash Jha,,"Action, Drama, Crime"
Green Card Fever,2003,Bala Rajasekharuni,,Drama
Haasil,2003,Tigmanshu Dhulia,,Drama
Hawa,2003,Guddu Dhanoa,,Horror
Hawayein,2003,Ammtoje Mann,,"Drama, Romance"
